"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 28 15:09:21 GMT 2021","Fri May 28 15:09:21 GMT 2021","1","","createAnchorText","","createAnchorText","it should return the same hash href for all address related errors","it should return the same hash href for all address related errors",""
"passed","Fri May 28 15:09:16 GMT 2021","Fri May 28 15:09:16 GMT 2021","1","","findLibraryName","","findLibraryName","it returns the value code for a library name","it returns the value code for a library name",""
"passed","Fri May 28 15:09:16 GMT 2021","Fri May 28 15:09:16 GMT 2021","1","","isDate","","isDate","it returns true if the input is a valid date","it returns true if the input is a valid date",""
"passed","Fri May 28 15:09:19 GMT 2021","Fri May 28 15:09:20 GMT 2021","310","","AddressFormFields","","AddressFormFields","it passes axe accessibility test","it passes axe accessibility test",""
"passed","Fri May 28 15:09:21 GMT 2021","Fri May 28 15:09:21 GMT 2021","1","","createAnchorText","","createAnchorText","it should return undefined if the key does not exist in the list of properties","it should return undefined if the key does not exist in the list of properties",""
"passed","Fri May 28 15:09:16 GMT 2021","Fri May 28 15:09:16 GMT 2021","1","","findLibraryCode","","findLibraryCode","it returns the value code for a library name","it returns the value code for a library name",""
"skipped","Fri May 28 15:09:30 GMT 2021","Fri May 28 15:09:30 GMT 2021","0","","ApplicationContainer","","ApplicationContainer","passes axe accessibility test","passes axe accessibility test",""
"skipped","Fri May 28 15:09:30 GMT 2021","Fri May 28 15:09:30 GMT 2021","0","","ApplicationContainer","","ApplicationContainer","renders with a header and footer","renders with a header and footer",""
"failed","Fri May 28 15:09:24 GMT 2021","Fri May 28 15:09:24 GMT 2021","19","","AccountFormFields","","AccountFormFields","renders the autosuggest dropdown","renders the autosuggest dropdown",""
"passed","Fri May 28 15:09:16 GMT 2021","Fri May 28 15:09:16 GMT 2021","0","","getPatronAgencyType","","getPatronAgencyType","it returns the value code for nys","it returns the value code for nys",""
"passed","Fri May 28 15:09:18 GMT 2021","Fri May 28 15:09:18 GMT 2021","0","","IPLocationAPI getLocationFromIP","","IPLocationAPI getLocationFromIP","should return the user's location","should return the user's location",""
"passed","Fri May 28 15:09:23 GMT 2021","Fri May 28 15:09:23 GMT 2021","7","","ApiErrors","","ApiErrors","it renders an unavailable username detail","it renders an unavailable username detail",""
"passed","Fri May 28 15:09:17 GMT 2021","Fri May 28 15:09:17 GMT 2021","39","","UsernameValidationFormFields","","UsernameValidationFormFields","renders the basic label, input, and helper text elements","renders the basic label, input, and helper text elements",""
"passed","Fri May 28 15:09:25 GMT 2021","Fri May 28 15:09:25 GMT 2021","4","","FormField","","FormField","it renders instructional text","it renders instructional text",""
"passed","Fri May 28 15:09:23 GMT 2021","Fri May 28 15:09:23 GMT 2021","0","","createQueryParams","","createQueryParams","it should return an empty string with an empty object","it should return an empty string with an empty object",""
